('Delta Air Lines', '2020-09-11T10:57', '2020-09-12T02:04', '907', '7183', '500', 'DL 144', 'E-170', '240', '6', '13'), 
('Finnair', '2020-04-18T09:22', '2020-04-19T23:14', '2272', '7242', '1000', 'FA 1028', 'A380', '579', '1', '28'), 
('Frontier Airlines', '2020-09-21T11:42', '2020-09-21T22:14', '632', '2563', '200', 'F9 1873', 'Boeing 767', '479', '13', '24'), 
('Alaska Airlines', '2020-05-28T19:15', '2020-05-28T22:58', '223', '9289', '500', 'AS 1297', 'A330', '82', '8', '23'), 
('JetBlue Airways', '2020-04-03T20:06', '2020-04-04T05:55', '589', '3396', '300', 'B6 328', 'A220', '504', '18', '19'), 
('Lufthansa', '2020-11-24T15:47', '2020-11-25T03:05', '678', '7072', '200', 'LH 309', 'Boeing 787', '424', '17', '28'), 
('Alaska Airlines', '2020-12-01T14:38', '2020-12-02T10:19', '1181', '9779', '500', 'AS 1981', 'CRJ705', '240', '26', '12'), 
('Finnair', '2020-04-20T18:36', '2020-04-20T22:09', '213', '7994', '300', 'FA 946', 'CRJ700', '220', '4', '5'), 
('American Airlines', '2020-05-07T15:16', '2020-05-08T14:05', '1369', '3776', '200', 'AA 1360', 'A320', '422', '18', '2'), 
('Alaska Airlines', '2020-09-11T19:53', '2020-09-12T11:38', '945', '7313', '200', 'AS 1627', 'E-175', '464', '15', '16'), 
('WOW Air', '2020-06-13T11:02', '2020-06-13T17:22', '380', '8918', '300', 'WA 1250', 'A321', '438', '23', '17'), 
('Finnair', '2020-04-28T15:09', '2020-04-28T23:57', '528', '1568', '300', 'FA 1304', 'Boeing 777', '385', '22', '18'), 
('Delta Air Lines', '2020-09-25T15:25', '2020-09-26T19:11', '1666', '1439', '500', 'DL 122', 'CRJ900', '349', '21', '20'), 
('SAS', '2020-04-26T16:13', '2020-04-26T19:29', '196', '4051', '500', 'SA 1272', 'A321', '357', '14', '21'), 
('Alaska Airlines', '2020-09-04T04:07', '2020-09-05T20:05', '2398', '3733', '500', 'AS 686', 'SR-71 Blackbird', '586', '3', '2'), 
('British Airways', '2020-02-18T12:04', '2020-02-19T16:36', '1712', '7655', '200', 'BA 1340', 'A319', '137', '14', '26'), 
('Lufthansa', '2020-06-04T15:33', '2020-06-05T07:00', '927', '6644', '1000', 'LH 242', 'A330', '382', '25', '14'), 
('Air Canada', '2020-01-16T17:51', '2020-01-17T11:29', '1058', '3567', '300', 'AC 294', 'E-195', '428', '20', '8'), 
('Alaska Airlines', '2020-07-13T19:15', '2020-07-13T21:34', '139', '5484', '500', 'AS 945', 'Boeing 787', '450', '10', '23'), 
('Norwegian', '2020-06-18T04:43', '2020-06-18T09:51', '308', '8168', '300', 'NW 1150', 'CRJ900', '198', '12', '23'), 
('SAS', '2020-02-24T14:45', '2020-02-25T13:11', '1346', '9833', '300', 'SA 633', 'CRJ700', '106', '0', '10'), 
('SAS', '2020-05-30T13:50', '2020-05-30T16:03', '133', '5241', '300', 'SA 571', 'SR-71 Blackbird', '473', '6', '25'), 
('Frontier Airlines', '2020-02-22T02:18', '2020-02-23T17:40', '2362', '2643', '500', 'F9 466', 'E-175', '206', '12', '15'), 
('SAS', '2020-12-13T08:48', '2020-12-14T09:01', '1453', '4291', '300', 'SA 797', 'Boeing 777', '411', '25', '8'), 
('Lufthansa', '2020-09-25T23:07', '2020-09-25T23:56', '49', '6017', '200', 'LH 255', 'A330', '534', '14', '25'), 
('American Airlines', '2020-09-19T06:25', '2020-09-20T14:24', '1919', '8076', '300', 'AA 404', 'A350', '95', '1', '23'), 
('Norwegian', '2020-10-16T06:43', '2020-10-17T04:15', '1292', '3054', '300', 'NW 1038', 'E-175', '402', '2', '4'), 
('Air Canada', '2020-05-28T05:39', '2020-05-29T17:30', '2151', '2753', '500', 'AC 1340', 'A330', '217', '21', '5'), 
('Finnair', '2020-10-17T18:47', '2020-10-18T05:45', '658', '6158', '200', 'FA 799', 'SR-71 Blackbird', '338', '22', '15'), 
('Norwegian', '2020-06-07T22:58', '2020-06-07T24:10', '72', '7265', '500', 'NW 1739', 'Boeing 767', '563', '8', '4'), 
('SAS', '2020-06-15T10:05', '2020-06-15T18:47', '522', '4348', '500', 'SA 1919', 'CRJ705', '567', '10', '14'), 
('Norwegian', '2020-06-29T19:40', '2020-06-29T22:37', '177', '7141', '300', 'NW 1562', 'A300', '210', '18', '14'), 
('British Airways', '2020-05-03T05:03', '2020-05-04T18:28', '2245', '8244', '500', 'BA 1446', 'A300', '429', '24', '4'), 
('SAS', '2020-09-20T09:50', '2020-09-20T13:15', '205', '8260', '500', 'SA 237', 'A330', '441', '22', '20'), 
('British Airways', '2020-11-07T19:53', '2020-11-07T22:48', '175', '3512', '300', 'BA 1646', 'A350', '150', '10', '19'), 
('SAS', '2020-12-30T01:02', '2020-12-31T14:46', '2264', '9226', '200', 'SA 742', 'A220', '472', '3', '10'), 
('Finnair', '2020-04-29T15:17', '2020-04-30T19:42', '1705', '846', '500', 'FA 627', 'A330', '372', '25', '16'), 
('JetBlue Airways', '2020-04-03T07:44', '2020-04-04T17:21', '2017', '1921', '1000', 'B6 1105', 'E-170', '532', '23', '25'), 
('Norwegian', '2020-03-28T06:22', '2020-03-28T16:34', '612', '3570', '300', 'NW 206', 'A330', '168', '18', '20'), 
('Delta Air Lines', '2020-09-09T14:20', '2020-09-09T19:33', '313', '4052', '1000', 'DL 1748', 'Boeing 747', '408', '9', '22'), 
('Delta Air Lines', '2020-09-12T07:32', '2020-09-12T22:37', '905', '1157', '500', 'DL 319', 'Boeing 787', '192', '23', '12'), 
('Air Canada', '2020-01-08T21:56', '2020-01-08T23:39', '103', '6380', '500', 'AC 1164', 'A350', '91', '26', '1'), 
('British Airways', '2020-12-02T10:35', '2020-12-02T16:03', '328', '6629', '500', 'BA 1255', 'E-195', '255', '6', '28'), 
('Frontier Airlines', '2020-09-25T19:38', '2020-09-25T21:32', '114', '8677', '1000', 'F9 255', 'A310', '572', '21', '26'), 
('British Airways', '2020-09-29T06:18', '2020-09-29T19:53', '815', '8475', '500', 'BA 1710', 'CRJ705', '486', '9', '1'), 
('Frontier Airlines', '2020-11-04T08:12', '2020-11-04T20:44', '752', '3664', '1000', 'F9 1318', 'A350', '496', '7', '28'), 
('Finnair', '2020-07-07T23:11', '2020-07-08T14:05', '894', '4679', '300', 'FA 532', 'A220', '267', '19', '9'), 
('SAS', '2020-09-25T12:55', '2020-09-26T17:53', '1738', '2669', '500', 'SA 1315', 'A321', '351', '15', '6'), 
('British Airways', '2020-09-21T11:50', '2020-09-22T16:54', '1744', '7306', '300', 'BA 491', 'A350', '88', '23', '19'), 
('British Airways', '2020-04-19T21:35', '2020-04-20T19:40', '1325', '3779', '300', 'BA 1790', 'Boeing 787', '73', '10', '20'), 
('American Airlines', '2020-08-23T13:13', '2020-08-23T18:41', '328', '8985', '200', 'AA 686', 'A321', '210', '9', '15'), 
('Finnair', '2020-02-13T16:49', '2020-02-13T18:17', '88', '6661', '500', 'FA 1024', 'A320', '558', '8', '22'), 
('Frontier Airlines', '2020-08-16T14:39', '2020-08-16T19:13', '274', '4522', '300', 'F9 392', 'A350', '425', '23', '5'), 
('Air Canada', '2020-09-18T04:16', '2020-09-19T01:39', '1283', '7293', '300', 'AC 489', 'E-190', '500', '17', '4'), 
('SAS', '2020-08-05T14:02', '2020-08-06T11:12', '1270', '2346', '200', 'SA 1903', 'CRJ700', '442', '11', '3'), 
('Finnair', '2020-05-01T17:48', '2020-05-01T23:31', '343', '2829', '200', 'FA 1504', 'CRJ700', '323', '9', '22'), 
('Frontier Airlines', '2020-02-16T00:21', '2020-02-17T17:50', '2489', '3803', '1000', 'F9 1754', 'SR-71 Blackbird', '148', '19', '28'), 
('Lufthansa', '2020-06-10T10:57', '2020-06-11T18:06', '1869', '5116', '500', 'LH 197', 'A380', '569', '10', '5'), 
('Air Canada', '2020-05-27T05:23', '2020-05-27T19:26', '843', '3554', '200', 'AC 1084', 'A310', '102', '19', '9'), 
('JetBlue Airways', '2020-07-29T12:07', '2020-07-29T16:49', '282', '573', '1000', 'B6 1440', 'E-170', '298', '18', '25'), 
('Norwegian', '2020-06-26T13:27', '2020-06-26T19:05', '338', '3963', '300', 'NW 757', 'CRJ700', '394', '10', '9'), 
('Alaska Airlines', '2020-05-24T21:29', '2020-05-24T23:30', '121', '3798', '200', 'AS 977', 'A319', '364', '23', '11'), 
('SAS', '2020-03-01T17:10', '2020-03-02T15:26', '1336', '9206', '500', 'SA 793', 'Boeing 777', '437', '15', '26'), 
('Delta Air Lines', '2020-12-03T15:27', '2020-12-04T05:03', '816', '2825', '300', 'DL 815', 'CRJ900', '124', '22', '2'), 
('British Airways', '2020-12-08T20:09', '2020-12-08T23:39', '210', '7847', '500', 'BA 1941', 'E-175', '275', '29', '21'), 
('JetBlue Airways', '2020-11-20T05:34', '2020-11-20T11:11', '337', '9646', '500', 'B6 680', 'Boeing 777', '148', '16', '9'), 
('Finnair', '2020-07-21T05:17', '2020-07-22T08:35', '1638', '6449', '1000', 'FA 710', 'SR-71 Blackbird', '207', '2', '25'), 
('JetBlue Airways', '2020-01-10T23:41', '2020-01-11T21:37', '1316', '5644', '500', 'B6 1903', 'A330', '504', '18', '15'), 
('Lufthansa', '2020-07-13T04:57', '2020-07-13T21:32', '995', '5753', '300', 'LH 1351', 'A300', '427', '5', '0'), 
('Air Canada', '2020-07-07T05:39', '2020-07-07T13:41', '482', '8492', '300', 'AC 669', 'E-170', '522', '4', '2'), 
('Delta Air Lines', '2020-09-14T12:47', '2020-09-15T10:21', '1294', '7929', '300', 'DL 237', 'Millennium Falcon', '70', '9', '14'), 
('Lufthansa', '2020-09-06T21:26', '2020-09-07T12:48', '922', '4528', '1000', 'LH 1173', 'E-190', '561', '1', '25'), 
('JetBlue Airways', '2020-10-17T13:47', '2020-10-18T08:22', '1115', '8981', '500', 'B6 553', 'E-175', '121', '23', '12'), 
('SAS', '2020-01-22T16:35', '2020-01-22T21:21', '286', '6171', '1000', 'SA 177', 'Boeing 777', '590', '6', '24'), 
('Finnair', '2020-02-21T02:35', '2020-02-21T13:36', '661', '5006', '300', 'FA 448', 'A330', '219', '17', '16'), 
('SAS', '2020-08-27T12:06', '2020-08-27T21:49', '583', '6615', '500', 'SA 704', 'Millennium Falcon', '438', '19', '15'), 
('WOW Air', '2020-03-02T00:45', '2020-03-03T05:19', '1714', '2411', '500', 'WA 383', 'A318', '202', '7', '8'), 
('Finnair', '2020-10-30T04:45', '2020-10-30T08:37', '232', '8339', '500', 'FA 1450', 'E-190', '569', '0', '7'), 
('JetBlue Airways', '2020-04-17T06:45', '2020-04-17T12:34', '349', '8166', '500', 'B6 793', 'A220', '435', '2', '16'), 
('Finnair', '2020-06-25T11:33', '2020-06-25T18:21', '408', '9120', '500', 'FA 1618', 'E-195', '573', '8', '9'), 
('British Airways', '2020-12-26T06:04', '2020-12-26T18:53', '769', '3899', '500', 'BA 1626', 'CRJ700', '273', '6', '3'), 
('Alaska Airlines', '2020-01-29T02:19', '2020-01-29T21:40', '1161', '7837', '300', 'AS 967', 'Boeing 777', '321', '1', '25'), 
('Frontier Airlines', '2020-05-10T00:15', '2020-05-10T14:06', '831', '6291', '500', 'F9 1916', 'CRJ900', '144', '21', '9'), 
('Delta Air Lines', '2020-01-15T18:51', '2020-01-16T09:11', '860', '3250', '1000', 'DL 1352', 'CRJ705', '475', '20', '5'), 
('Lufthansa', '2020-03-16T10:06', '2020-03-17T01:03', '897', '8679', '1000', 'LH 1804', 'A330', '241', '7', '13'), 
('SAS', '2020-11-28T02:23', '2020-11-28T14:12', '709', '6192', '500', 'SA 1736', 'A310', '140', '10', '22'), 
('Delta Air Lines', '2020-05-27T13:01', '2020-05-28T18:42', '1781', '1795', '500', 'DL 322', 'CRJ705', '573', '10', '6'), 
('Norwegian', '2020-11-10T08:36', '2020-11-10T15:54', '438', '8468', '1000', 'NW 482', 'A220', '271', '22', '1'), 
('Norwegian', '2020-05-15T04:47', '2020-05-15T17:06', '739', '2739', '500', 'NW 1035', 'A320', '374', '9', '23'), 
('Delta Air Lines', '2020-05-22T21:21', '2020-05-22T23:05', '104', '4420', '1000', 'DL 281', 'A340', '416', '28', '8'), 
('Lufthansa', '2020-05-27T10:55', '2020-05-28T17:07', '1812', '3841', '200', 'LH 634', 'A330', '310', '9', '8'), 
('SAS', '2020-08-16T16:04', '2020-08-16T21:42', '338', '8893', '500', 'SA 953', 'A220', '505', '19', '13'), 
('British Airways', '2020-07-28T07:53', '2020-07-28T10:21', '148', '6260', '1000', 'BA 1359', 'CRJ700', '116', '12', '21'), 
('SAS', '2020-06-07T03:05', '2020-06-07T16:40', '815', '2866', '300', 'SA 169', 'A321', '216', '20', '27'), 
('Frontier Airlines', '2020-09-08T17:47', '2020-09-08T22:00', '253', '2553', '1000', 'F9 1252', 'CRJ705', '502', '19', '0'), 
('Air Canada', '2020-07-06T18:45', '2020-07-06T22:16', '211', '6549', '200', 'AC 552', 'CRJ705', '354', '7', '8'), 
('British Airways', '2020-05-22T11:20', '2020-05-23T17:03', '1783', '4827', '300', 'BA 619', 'E-170', '260', '2', '1'), 
('Delta Air Lines', '2020-02-21T13:31', '2020-02-22T03:19', '828', '4074', '1000', 'DL 326', 'Boeing 767', '427', '21', '20'), 
('British Airways', '2020-02-22T08:35', '2020-02-22T21:13', '758', '2553', '500', 'BA 174', 'E-175', '394', '19', '7'), 
('Frontier Airlines', '2020-09-14T20:04', '2020-09-14T22:21', '137', '7931', '1000', 'F9 985', 'SR-71 Blackbird', '376', '15', '0'), 
('British Airways', '2020-05-10T09:21', '2020-05-10T13:55', '274', '641', '200', 'BA 1580', 'A318', '373', '14', '22'), 
('Air Canada', '2020-04-18T15:10', '2020-04-18T22:33', '443', '4390', '300', 'AC 761', 'CRJ900', '107', '3', '15'), 
('British Airways', '2020-06-02T04:09', '2020-06-02T11:58', '469', '2242', '500', 'BA 1487', 'A321', '51', '13', '2'), 
('Lufthansa', '2020-02-25T10:33', '2020-02-26T19:09', '1956', '4393', '500', 'LH 1477', 'CRJ1000', '134', '20', '3'), 
('American Airlines', '2020-12-26T06:27', '2020-12-27T08:21', '1554', '5217', '500', 'AA 376', 'A321', '124', '4', '20'), 
('Alaska Airlines', '2020-07-09T22:54', '2020-07-10T19:31', '1237', '4902', '500', 'AS 1127', 'Boeing 747', '328', '20', '13'), 
('British Airways', '2020-02-20T12:54', '2020-02-20T18:15', '321', '6550', '300', 'BA 347', 'A318', '530', '11', '23'), 
('Delta Air Lines', '2020-09-03T17:09', '2020-09-03T19:23', '134', '9525', '1000', 'DL 1885', 'A340', '140', '16', '13'), 
('Lufthansa', '2020-01-21T18:14', '2020-01-21T23:34', '320', '3880', '500', 'LH 173', 'Boeing 737', '451', '13', '25'), 
('Delta Air Lines', '2020-01-19T00:13', '2020-01-20T21:57', '2744', '3582', '500', 'DL 1498', 'SR-71 Blackbird', '567', '15', '12'), 
('Air Canada', '2020-09-15T05:16', '2020-09-16T18:02', '2206', '2526', '300', 'AC 724', 'SR-71 Blackbird', '298', '6', '28'), 
('Norwegian', '2020-10-19T02:11', '2020-10-20T06:29', '1698', '6103', '300', 'NW 1929', 'A380', '182', '11', '2'), 
('Air Canada', '2020-12-12T18:47', '2020-12-13T18:26', '1419', '1257', '300', 'AC 347', 'CRJ900', '317', '3', '11'), 
('Norwegian', '2020-05-14T13:02', '2020-05-14T20:49', '467', '9755', '500', 'NW 666', 'SR-71 Blackbird', '546', '4', '17'), 
('Frontier Airlines', '2020-09-14T07:41', '2020-09-14T11:46', '245', '6685', '1000', 'F9 307', 'A321', '149', '6', '27'), 
('Finnair', '2020-04-12T17:34', '2020-04-12T20:44', '190', '2181', '300', 'FA 1531', 'A320', '347', '9', '3'), 
('JetBlue Airways', '2020-01-19T03:36', '2020-01-19T07:33', '237', '972', '500', 'B6 1609', 'E-190', '352', '14', '11'), 
('Alaska Airlines', '2020-05-17T05:12', '2020-05-18T14:11', '1979', '759', '300', 'AS 965', 'A318', '275', '13', '11'), 
('British Airways', '2020-03-09T07:56', '2020-03-10T13:59', '1803', '583', '500', 'BA 705', 'Boeing 767', '262', '25', '17'), 
('Alaska Airlines', '2020-09-14T05:54', '2020-09-14T15:12', '558', '2330', '300', 'AS 294', 'E-195', '352', '4', '2'), 
('Norwegian', '2020-05-03T10:35', '2020-05-03T22:18', '703', '2933', '200', 'NW 890', 'E-170', '102', '0', '16'), 
('American Airlines', '2020-11-06T03:51', '2020-11-07T22:47', '2576', '2302', '500', 'AA 1657', 'CRJ700', '200', '11', '7'), 
('Finnair', '2020-10-30T05:27', '2020-10-30T11:30', '363', '5932', '500', 'FA 499', 'A340', '477', '8', '22'), 
('WOW Air', '2020-03-23T09:38', '2020-03-23T16:31', '413', '5063', '200', 'WA 1275', 'E-190', '552', '4', '12'), 
('Frontier Airlines', '2020-04-18T03:27', '2020-04-19T16:31', '2224', '8522', '300', 'F9 1030', 'A318', '498', '9', '24'), 
('Finnair', '2020-10-20T05:37', '2020-10-21T20:55', '2358', '1973', '500', 'FA 1674', 'A380', '60', '28', '4'), 
('British Airways', '2020-03-15T21:47', '2020-03-15T23:42', '115', '7712', '200', 'BA 1359', 'Boeing 777', '105', '13', '16'), 
('Norwegian', '2020-02-19T23:50', '2020-02-19T24:54', '64', '9130', '300', 'NW 1359', 'A340', '245', '5', '10'), 
('Alaska Airlines', '2020-04-26T03:26', '2020-04-27T01:30', '1324', '4837', '500', 'AS 358', 'A318', '85', '20', '21'), 
('Air Canada', '2020-11-15T21:44', '2020-11-16T18:23', '1239', '1993', '300', 'AC 1326', 'E-170', '182', '20', '11'), 
('British Airways', '2020-02-23T17:23', '2020-02-24T22:25', '1742', '8228', '300', 'BA 813', 'Boeing 747', '126', '24', '17'), 
('WOW Air', '2020-03-20T15:57', '2020-03-20T23:35', '458', '7518', '200', 'WA 1085', 'E-195', '524', '20', '6'), 
('SAS', '2020-08-02T11:59', '2020-08-02T21:29', '570', '3876', '200', 'SA 1999', 'SR-71 Blackbird', '310', '27', '11'), 
('Air Canada', '2020-01-13T20:50', '2020-01-13T23:49', '179', '2931', '200', 'AC 1465', 'E-195', '471', '23', '25'), 
('SAS', '2020-03-21T03:56', '2020-03-21T20:44', '1008', '3130', '500', 'SA 1104', 'A310', '141', '11', '23'), 
('Frontier Airlines', '2020-07-11T11:53', '2020-07-11T16:49', '296', '7892', '300', 'F9 1604', 'A330', '58', '17', '10'), 
('Alaska Airlines', '2020-07-08T00:58', '2020-07-09T12:54', '2156', '1543', '500', 'AS 946', 'A318', '587', '8', '28'), 
('SAS', '2020-05-10T04:07', '2020-05-10T18:36', '869', '1830', '200', 'SA 1112', 'A318', '534', '17', '2'), 
('American Airlines', '2020-09-20T17:00', '2020-09-20T21:44', '284', '9130', '300', 'AA 1646', 'CRJ900', '235', '20', '24'), 
('Delta Air Lines', '2020-10-02T04:17', '2020-10-02T12:29', '492', '9098', '500', 'DL 1786', 'Boeing 737', '589', '20', '21'), 
('Finnair', '2020-07-18T02:34', '2020-07-18T22:51', '1217', '2352', '1000', 'FA 1042', 'E-175', '372', '12', '26'), 
('American Airlines', '2020-09-16T12:28', '2020-09-16T14:49', '141', '3197', '500', 'AA 1535', 'Boeing 767', '584', '17', '7'), 
('British Airways', '2020-06-06T06:54', '2020-06-06T22:18', '924', '5755', '500', 'BA 1670', 'Boeing 737', '182', '27', '3'), 
('British Airways', '2020-03-19T20:57', '2020-03-20T12:34', '937', '6089', '500', 'BA 1900', 'CRJ900', '518', '27', '15'), 
('British Airways', '2020-03-20T17:37', '2020-03-21T22:31', '1734', '8016', '1000', 'BA 1090', 'A300', '161', '22', '16'), 
('Finnair', '2020-08-21T07:27', '2020-08-21T10:02', '155', '6647', '200', 'FA 936', 'E-195', '548', '25', '7'), 
('Delta Air Lines', '2020-07-24T11:01', '2020-07-24T20:54', '593', '1523', '300', 'DL 160', 'A350', '223', '19', '6'), 
('Delta Air Lines', '2020-06-07T11:51', '2020-06-07T13:51', '120', '4102', '300', 'DL 338', 'Boeing 777', '414', '3', '6'), 
('Norwegian', '2020-07-16T03:54', '2020-07-17T00:12', '1218', '7575', '300', 'NW 1979', 'A380', '132', '18', '7'), 
('Finnair', '2020-02-05T14:02', '2020-02-06T11:43', '1301', '1415', '500', 'FA 1468', 'E-175', '549', '28', '16'), 
('Alaska Airlines', '2020-10-16T18:48', '2020-10-16T21:38', '170', '2640', '1000', 'AS 664', 'A330', '376', '5', '26'), 
('SAS', '2020-04-17T22:37', '2020-04-18T12:58', '861', '2150', '500', 'SA 1809', 'A300', '341', '24', '10'), 
('American Airlines', '2020-08-28T04:22', '2020-08-29T02:26', '1324', '4824', '200', 'AA 1647', 'Boeing 787', '487', '15', '24'), 
('JetBlue Airways', '2020-04-17T05:29', '2020-04-18T19:57', '2308', '2859', '500', 'B6 1875', 'A321', '453', '18', '15'), 
('British Airways', '2020-11-04T13:28', '2020-11-04T21:44', '496', '2927', '500', 'BA 936', 'CRJ705', '498', '3', '14'), 
('Norwegian', '2020-10-17T18:16', '2020-10-18T00:18', '362', '7078', '300', 'NW 1436', 'E-195', '313', '18', '27'), 
('Delta Air Lines', '2020-09-17T14:45', '2020-09-18T06:40', '955', '6122', '500', 'DL 953', 'E-170', '172', '17', '5'), 
('JetBlue Airways', '2020-04-28T03:34', '2020-04-29T21:52', '2538', '6081', '1000', 'B6 198', 'E-175', '526', '23', '6'), 
('Frontier Airlines', '2020-03-17T02:26', '2020-03-17T07:21', '295', '1730', '1000', 'F9 173', 'A300', '86', '5', '7'), 
('SAS', '2020-03-06T06:05', '2020-03-06T22:15', '970', '5972', '300', 'SA 1256', 'A330', '160', '24', '18'), 
('WOW Air', '2020-08-16T01:32', '2020-08-16T03:59', '147', '8589', '1000', 'WA 1185', 'A320', '319', '16', '1'), 
('Frontier Airlines', '2020-07-18T05:11', '2020-07-19T09:10', '1679', '3690', '300', 'F9 1359', 'E-170', '366', '10', '26'), 
('Frontier Airlines', '2020-12-02T17:24', '2020-12-03T21:44', '1700', '8300', '300', 'F9 342', 'SR-71 Blackbird', '132', '15', '17'), 
('British Airways', '2020-12-30T18:43', '2020-12-31T08:25', '822', '9222', '500', 'BA 1296', 'A319', '575', '12', '27'), 
('British Airways', '2020-11-11T18:41', '2020-11-11T21:22', '161', '1606', '300', 'BA 544', 'A321', '54', '1', '7'), 
('Alaska Airlines', '2020-12-21T05:57', '2020-12-21T07:11', '74', '6848', '300', 'AS 1663', 'E-190', '375', '17', '2'), 
('British Airways', '2020-05-12T16:38', '2020-05-13T18:10', '1532', '7273', '500', 'BA 414', 'Boeing 747', '513', '18', '24'), 
('Alaska Airlines', '2020-02-07T22:45', '2020-02-07T23:08', '23', '8130', '500', 'AS 1178', 'A321', '584', '10', '15'), 
('Air Canada', '2020-07-16T08:14', '2020-07-17T12:05', '1671', '613', '500', 'AC 1080', 'CRJ900', '110', '23', '10'), 
('JetBlue Airways', '2020-01-22T02:59', '2020-01-22T18:58', '959', '4111', '200', 'B6 1054', 'A318', '585', '9', '29'), 
('Alaska Airlines', '2020-07-15T00:31', '2020-07-15T18:50', '1099', '9809', '200', 'AS 1750', 'A220', '573', '28', '22'), 
('Alaska Airlines', '2020-05-04T05:11', '2020-05-05T17:56', '2205', '9590', '200', 'AS 274', 'A310', '91', '13', '6'), 
('Alaska Airlines', '2020-04-18T21:00', '2020-04-18T23:42', '162', '1369', '500', 'AS 940', 'CRJ705', '406', '8', '2'), 
('Finnair', '2020-11-08T04:14', '2020-11-09T07:28', '1634', '1772', '300', 'FA 184', 'A220', '164', '26', '24'), 
('Lufthansa', '2020-05-03T12:11', '2020-05-04T01:40', '809', '2828', '300', 'LH 223', 'A220', '481', '8', '17'), 
('American Airlines', '2020-06-11T20:09', '2020-06-12T15:14', '1145', '8765', '300', 'AA 296', 'E-195', '152', '22', '3'), 
('JetBlue Airways', '2020-08-24T19:23', '2020-08-25T01:12', '349', '6157', '500', 'B6 1574', 'Boeing 747', '79', '11', '4'), 
('Frontier Airlines', '2020-09-11T05:48', '2020-09-12T16:42', '2094', '3998', '500', 'F9 1172', 'A319', '224', '0', '1'), 
('JetBlue Airways', '2020-10-09T20:01', '2020-10-09T22:32', '151', '7005', '300', 'B6 951', 'A380', '197', '18', '8'), 
('SAS', '2020-01-20T13:14', '2020-01-20T19:06', '352', '5743', '200', 'SA 1371', 'Boeing 787', '518', '14', '20'), 
('SAS', '2020-07-05T05:02', '2020-07-06T01:07', '1205', '6537', '1000', 'SA 723', 'E-190', '544', '9', '28'), 
('Norwegian', '2020-05-23T23:56', '2020-05-23T25:03', '67', '3197', '500', 'NW 557', 'SR-71 Blackbird', '477', '7', '17'), 
('Lufthansa', '2020-12-26T02:19', '2020-12-27T17:46', '2367', '5676', '500', 'LH 1297', 'E-190', '287', '27', '8'), 
('Lufthansa', '2020-08-16T22:41', '2020-08-17T13:47', '906', '1103', '300', 'LH 1867', 'A220', '494', '23', '2'), 
('British Airways', '2020-12-11T16:48', '2020-12-12T05:37', '769', '8086', '300', 'BA 223', 'Boeing 747', '69', '16', '3'), 
('Delta Air Lines', '2020-11-14T02:22', '2020-11-14T18:14', '952', '5872', '300', 'DL 1781', 'E-190', '368', '25', '21'), 
('Alaska Airlines', '2020-08-01T00:05', '2020-08-02T02:13', '1568', '3224', '200', 'AS 1604', 'A319', '319', '26', '25'), 
('WOW Air', '2020-08-18T16:57', '2020-08-18T22:03', '306', '1967', '500', 'WA 809', 'E-170', '212', '12', '2'), 
('British Airways', '2020-09-01T16:08', '2020-09-02T02:26', '618', '573', '500', 'BA 186', 'A318', '538', '14', '28'), 
('Frontier Airlines', '2020-09-06T20:55', '2020-09-06T23:07', '132', '3382', '300', 'F9 807', 'Boeing 747', '500', '22', '12'), 
('Frontier Airlines', '2020-03-08T22:05', '2020-03-08T23:06', '61', '8723', '500', 'F9 1053', 'E-175', '515', '14', '21'), 
('American Airlines', '2020-06-20T01:45', '2020-06-21T04:34', '1609', '5751', '200', 'AA 684', 'SR-71 Blackbird', '119', '23', '1'), 
('Delta Air Lines', '2020-11-25T06:27', '2020-11-25T14:50', '503', '4670', '1000', 'DL 1464', 'A321', '516', '16', '21'), 
('Frontier Airlines', '2020-06-14T04:20', '2020-06-15T09:36', '1756', '1854', '200', 'F9 1471', 'A350', '434', '16', '11'), 
('JetBlue Airways', '2020-02-07T11:31', '2020-02-07T17:07', '336', '8633', '500', 'B6 275', 'A321', '599', '9', '12'), 
('Air Canada', '2020-04-04T13:57', '2020-04-04T17:12', '195', '6071', '200', 'AC 560', 'Boeing 767', '192', '19', '16'), 
('Finnair', '2020-08-15T11:22', '2020-08-15T21:08', '586', '4287', '500', 'FA 1073', 'Boeing 767', '412', '3', '7'), 
('Air Canada', '2020-03-17T20:36', '2020-03-17T23:26', '170', '8889', '500', 'AC 1286', 'A340', '118', '14', '22'), 
('Finnair', '2020-09-22T21:55', '2020-09-23T21:10', '1395', '815', '500', 'FA 1430', 'A350', '350', '14', '7'), 
('Norwegian', '2020-02-13T12:37', '2020-02-13T18:01', '324', '2027', '500', 'NW 1271', 'A320', '249', '15', '21'), 
('Air Canada', '2020-03-08T08:49', '2020-03-08T14:36', '347', '1474', '300', 'AC 942', 'E-175', '473', '29', '6'), 
('Air Canada', '2020-03-28T12:21', '2020-03-28T16:42', '261', '7518', '1000', 'AC 508', 'A310', '159', '0', '10'), 
('Air Canada', '2020-04-15T02:54', '2020-04-15T13:45', '651', '2368', '1000', 'AC 657', 'A220', '82', '17', '2'), 
('SAS', '2020-08-22T21:52', '2020-08-23T09:04', '672', '8336', '200', 'SA 1607', 'A300', '374', '16', '20'), 
